T	U	Steps
0.001585008258716357	-23.924003760508214	1
0.00153837231529765	-23.69084280164902	1
0.0015732339816734412	-23.86513711122545	1
0.0014791564993439916	-20.907351270191196	13
0.0015347538613199505	-22.667491335419164	2
0.0008414420355006202	-16.115651157202887	10
0.0014585727865580663	-20.234256479788037	32
0.0013766824064195505	-16.76584868132386	6
0.0014002057558965477	-21.891181594796358	8
0.0011026043674237872	-18.623986362051262	15
0.001119687015583666	-19.571791025505977	6
0.0010664055023411403	-16.475192899455823	26
0.0015516577153108797	-23.757264457968944	1
0.0015762366758561956	-23.880149374374632	1
0.0011230748671714273	-17.719657228933166	4
0.0008317821460180665	-16.03967342990668	18
0.0015317665286869438	-23.65781652562104	1
0.0015987214657274477	-23.99256427974193	1
0.0010844254755361673	-17.147480675780983	15
0.001582291970333561	-23.91042341115869	1
0.0015147944518007458	-23.572962967817155	1
0.0015935132046569513	-23.96652506929253	1
0.0012160276551760212	-19.458170847841142	16
0.0011062749737293389	-19.338410947137373	9
0.001411089369879294	-20.277262615690724	5
0.0015811130831137896	-23.90452944924007	1
0.0011471360579505046	-16.556213842892603	3
0.0014755479287632428	-23.045246628888417	4
0.0014290788186190559	-17.58181212182999	48
0.0015409330033350642	-23.70364521185829	1
0.0014751980504060472	-23.374996887584327	1
0.0012460091380296077	-20.922437163475443	19
0.0010140409729854601	-17.79378852743667	10
0.00141289182889199	-22.539968562296487	2
0.0015250877471000082	-23.62442530407246	1
0.0015137982978576103	-23.567982598781462	1
0.0011790461926044584	-18.921112753162316	15
0.0010790925524943643	-17.914484710816385	3
0.0013926054337580177	-22.166798421733823	7
0.001107876734082366	-19.54049754567864	42
0.001564069124779031	-23.819316513106042	1
0.00137143405108515	-21.82734520185677	9
0.001482823235847759	-23.413119747737632	1
0.0013994072046510009	-20.170894794806568	10
0.0008613640372465965	-16.463890078814252	12
0.001519485682773439	-23.54572498210603	2
0.0012471384707213303	-19.942657846781074	6
0.0010942370888172566	-18.081160106703674	6
0.001489085681749214	-23.253881768470507	6
0.000981356817951557	-17.782450625414594	5
0.0013059659084398425	-18.78861763212388	30
0.0009115623546775464	-16.961252581666127	25
0.0012637163910173964	-20.421989863942407	14
0.0009277368742741849	-17.171646402111058	4
0.0015912348566584082	-23.955134245712834	1
0.0011584774839855912	-17.527509148858602	7
0.0015913331397108654	-23.955625621443023	1
0.0015595764597076734	-23.796854994820325	1
0.0014766737677839661	-17.67309236693314	17
0.001593394783027802	-23.965933008779157	1
0.0015647512116782772	-23.822726673248525	1
0.0015763511165102627	-23.880721531613844	1
0.0015647442954881449	-23.822692095079738	1
0.0015975140747744889	-23.986527810622345	1
0.0015782299659765247	-23.890115023221224	1
0.0010303625609968375	-17.42105788934088	15
0.0015965641338041624	-23.98177848786259	1
0.0011458736299729388	-20.513110181212575	9
0.0010100477525042853	-16.864151776262887	9
0.0015645503087535501	-23.821722239433463	1
0.0015672634255612782	-23.835286732183345	1
0.0014827518230652132	-23.412762712549046	1
0.0013720763323244844	-21.128230547843213	3
0.0015953363986630845	-23.97564030598539	1
0.0015439676369331718	-23.71881715923735	1
0.0012053924493161806	-19.278940280322942	5
0.001526849006162327	-23.633230890958156	1
0.0009069745600392957	-16.69976194855975	3
0.0015606690578863446	-23.802317546241223	1
0.0011284949167727396	-20.390260378127408	2
0.0008490876581105915	-16.456619650685997	3
0.0015654005925753137	-23.825973316535194	1
0.0010653199921564073	-16.627530440198953	11
0.0010720460519750721	-16.174225718366756	9
0.0015650963399115167	-16.783397559540784	8
0.0014711791699575814	-23.354904101844117	1
0.001388561063855279	-22.127152249202673	12
0.0015729508353365337	-23.863721493430003	1
0.0008828314239476375	-16.420834667935015	8
0.0015653532179112218	-23.8257364622701	1
0.0010884323350127656	-18.246811771148707	10
0.0015871747284204728	-23.934835237616245	1
0.0012362815485090417	-19.286484898173033	3
0.0012814249890464044	-20.18530477242127	27
0.0013850168932871857	-17.42105298780171	13
0.001444096733324638	-22.453392077158856	8
0.0009112737530765745	-16.537698099315424	9
0.0009341683568804984	-16.687428235676084	17
0.0008360129098290797	-16.07400321564876	4
0.0015690783645369904	-23.844360697044493	1
0.0014847816263955469	-23.42291091275906	1
0.001575102992938825	-23.87448141578562	1
0.001079284929341366	-17.458762400045224	16
0.0008926968508540008	-16.724801481493923	41
0.0014965063229806293	-23.26377297110436	6
0.0011171502347024477	-18.54081670458586	7
0.0015252103094331609	-23.62503806644035	1
0.0014685345407850622	-23.341682019722704	1
0.001001608432931991	-17.977102872090963	9
0.0014253178738444757	-22.332968036181917	3
0.001474703119815841	-23.37252243370773	1
0.0013371523435730351	-19.074829781072907	2
0.0015500457429540775	-23.749205244563694	1
0.0015245560334314484	-23.322931213928136	2
0.0010062116456100913	-16.295963682963798	5
0.0015120097914722481	-23.343214498651356	2
0.0010516931618299063	-17.62604171901096	3
0.0012710394866198374	-16.909793478582113	13
0.0010068591753455113	-17.723828077951254	15
0.0015873536315426655	-23.93572968126755	1
0.0008798511032409008	-16.542799915361396	7
0.0014520148326086118	-23.21725448700999	2
0.0014337043940599748	-23.16754529572174	1
0.0015749727112012945	-23.84984374485882	2
0.0015359948304023772	-22.857969609491523	2
0.0015843004562062634	-23.92046503265501	1
0.001547865273502899	-23.738303774351426	1
0.0011569462548126131	-17.889120636058962	6
0.0007948901961504737	-16.116607981538884	16
0.0015702143969151061	-23.85004040199221	1
0.0013058118743774424	-19.386946583278792	13
0.0013656818798265095	-17.507047473553776	12
0.0014963394877369719	-23.229064757579238	7
0.0012417932912115542	-18.463562393061483	2
0.0008639301300658224	-16.672312018430993	9
0.0012857957501077335	-19.757462473397325	16
0.0014742753773180682	-23.10762241409475	23
0.0008863831337315661	-16.152793959890136	11
0.0013822764458445006	-21.831583471963796	10
0.0010112689032463656	-17.93429863532358	7
0.0012393423875256507	-21.32430363616239	4
0.001597035274071766	-23.984133999695285	1
0.0015339830058435655	-23.449491418439678	17
0.0014470224905670423	-22.88590533228239	2
0.001232080060327388	-17.799428112066945	24
0.0015402731383886976	-23.50964292809	2
0.0008950017660790148	-16.568784042759816	8
0.0015138289216101795	-23.568135705226613	1
0.0009000892570678725	-16.959050156160735	8
0.0009059044653572429	-16.49423642014907	9
0.0009676021344927251	-17.230371368460933	7
0.001139807774468453	-18.83924835302055	13
0.001016918362142192	-18.018188148882757	10
0.0014055617310202702	-22.08922588917262	2
0.0008514285269537378	-16.01858600441638	3
0.0015349765001040601	-23.67386509156954	1
0.001010355910025757	-16.41444106076893	13
0.001571036420708544	-23.807683181426036	2
0.0015969558323772402	-23.98373682317625	1
0.0015948637136955644	-23.973277071274435	1
0.0011868319232375766	-20.396908503643868	9
0.0015536379505574115	-23.626687215169667	2
0.0010369563356942676	-17.702229374170958	3
0.001559348830477959	-23.795716940230367	1
0.0015296333751544987	-23.647151615970703	1
0.0015855065460862895	-23.92649499693326	1
0.001434769497294141	-21.817576525107317	11
0.0012693563988995977	-20.77116772296261	10
0.0011319730977475378	-18.599974304065036	19
0.0010089387407550136	-16.83911291594921	6
0.001579402111714777	-21.773377989141117	10
0.0008619066185364672	-16.769721933164433	6
0.0015556754624700341	-23.77735157771844	1
0.0009470005794785871	-17.009486062044587	10
0.0013460294821127754	-21.553320255190815	2
0.0008872222582761245	-16.744294940477154	10
0.0012091901640792651	-20.464593200218246	3
0.0015417654612885309	-23.707807166788584	1
0.001594964186214447	-23.973779393456088	1
0.0015756222416631641	-23.75779136354996	2
0.0010877890611274465	-16.7669381320409	3
0.0015619331653000566	-23.80863757485168	1
0.0008780045241858145	-16.34742576645271	9
0.0010312137940299874	-16.568892145502737	3
0.001533136707914588	-23.664666870636225	1
