T	U	Steps
0.0009638941612649625	-22.31883310209435	1
0.0009892276798340812	-22.445490505115462	1
0.0005813766832927322	-17.683809248865483	5
0.0008123717727683478	-20.78290111393548	4
0.0008227433347881776	-20.64595810470314	12
0.000635590221816388	-18.691434757045563	3
0.0009627328649039809	-22.31302708739416	1
0.0008448719005905483	-19.036554157368002	17
0.0005688113841190765	-17.851244677404846	3
0.0009323849120516834	-21.8432775041344	5
0.0009896521853867142	-22.44761286213104	1
0.0007299839337835245	-18.54316568191281	2
0.0005632475464592961	-18.148920586498406	4
0.0009422463816227492	-22.210602911204152	1
0.0009632503390078113	-22.31561424977127	1
0.000744311123737958	-18.819094406275767	8
0.0006282394119533141	-18.33859105190821	9
0.0009785813618008086	-22.392263197185372	1
0.0009094075327188575	-22.046421875355474	1
0.000874057768676706	-21.331022962956876	11
0.00072750962916058	-19.8465342496847	5
0.0009256804833123743	-22.033473568905617	3
0.0009910936101297694	-22.45481940606641	1
0.0009876966344871752	-22.437835894208664	1
0.0008813528324688654	-21.800583290932117	3
0.0009217600076038421	-22.10817928128182	1
0.0008511262163435521	-21.755038735796397	1
0.000996439187710482	-22.48154514383448	1
0.0005080220486981357	-17.6450233885704	6
0.0009891271781267727	-22.444988037003416	1
0.0008484829459262936	-21.246670131258448	7
0.0009147466724583061	-22.073115426506703	1
0.0007540520097540065	-19.600153678130567	35
0.0005188013389033646	-17.67508617649255	13
0.0008974998761856165	-19.034674767258608	10
0.0006574012722204726	-18.9809363664092	3
0.0008457888234597149	-21.257195278936752	9
0.0008038995647655017	-20.641802690008316	5
0.0009620468336344576	-22.309597206986826	1
0.0009954363822452044	-22.476531519863503	1
0.0009958299530372753	-22.47849921551907	1
0.0006713474391311522	-19.08442304635073	4
0.0008182518891760087	-20.860547247472287	17
0.0008878943417961246	-19.080497239930363	2
0.0009722887453433475	-22.36080264595813	1
0.0005941475874866891	-18.361423242067453	2
0.000831311697914499	-20.843687802396968	5
0.0009108684205903998	-22.05372572710468	1
0.0008229957209952157	-19.92371101932235	4
0.0009511883443804848	-22.25530912829422	1
0.0008202452805072029	-19.34371580962357	6
0.0009235785073866961	-20.225720816475835	6
0.0009957038215410862	-22.47786860877161	1
0.0009307196842875423	-22.053693337703145	2
0.0007702877030205352	-19.664596812661415	7
0.0005722445350138875	-18.22939912377945	2
0.0009971346666215503	-22.485022258649447	1
0.0005405240639290071	-18.20152804024804	4
0.0009449110606253027	-22.22392523441115	1
0.0005474139114075518	-17.88804317814449	8
0.000546847106592192	-17.903169508895992	14
0.0006885153738275669	-19.01893086990507	5
0.0007457052288894668	-19.89154509649979	5
0.0009314103348858656	-21.91168347085792	3
0.000632959259563014	-18.616674250150567	16
0.0009804264056167194	-22.401487674138536	1
0.0008949512048374206	-21.97414605067329	1
0.0005978843135350301	-18.169078831676266	5
0.0009974221982425554	-22.486459801101496	1
0.0006679680575108723	-18.979792178372122	5
0.0008530685882062511	-21.211090558095112	4
0.00064042704811461	-18.81842034128749	4
0.0007834602364403098	-20.421045147410453	2
0.000988130899432089	-22.44000704426016	1
0.0007458318216836964	-19.8376189393042	4
0.0005517495313692489	-17.814823216487916	12
0.0009884251902579863	-22.441478380017937	1
0.0008726652329516845	-21.284168548272945	22
0.0009840359698572315	-22.375641407041705	2
0.0009609320738438145	-20.312991218725564	4
0.0009900491289455613	-22.44959742026387	1
0.0006869789712288075	-18.5966366058947	11
0.0005530573508147296	-18.140849707286396	17
0.0006988466846864876	-17.643506003048056	9
0.0009632563366589756	-22.315644235614673	1
0.0005523526301525115	-18.147441426415142	7
0.0008586871168995901	-21.245808042439172	3
0.0006216840905526649	-18.53182160809778	2
0.0006262911060885837	-18.96732545960033	4
0.000888439766894308	-18.611999039111986	16
0.0008639191546061702	-21.285936532084847	8
0.0009644966494470444	-22.32184530066776	1
0.0005193046590692793	-17.979977651180036	11
0.0007310932272565954	-20.78851293178876	8
0.000926898406716277	-19.622581102492163	2
0.000986763327927491	-22.433169736811315	1
0.0005484373937800579	-17.936053648000595	15
0.0006265896530562699	-19.02610671054329	9
0.0009479301106976789	-22.23901927042966	1
0.0007829212489879347	-20.11008536733523	2
0.0007205024368803101	-18.809100560362126	11
0.0006645516201893099	-18.304120232298626	6
0.0008964689197441212	-20.327862444425776	2
0.0006825099720564041	-19.693222969584152	4
0.0006700601179229551	-17.608376203177734	7
0.0008294279133148245	-19.948190970760113	4
0.0008696384018164195	-21.847592217060413	1
0.0005087503824925322	-17.558100347161233	5
0.0009266699518828982	-22.13272702776508	1
0.0005779837438379987	-17.537256595667976	2
0.0005614554667331344	-17.58514888114515	2
0.0005736466457172137	-18.23627908072264	6
0.0007181766301721253	-20.100004653801186	5
0.0009648731100058151	-22.16836664210995	2
0.00047071600338376114	-17.54807095265251	3
0.0007418682181818396	-19.997189760742526	10
0.0009505833790448997	-22.25228454494967	1
0.0009988142940420186	-22.493419720160336	1
0.0006072928054899294	-17.565373767993215	3
0.0009352539234630385	-22.02021124394744	2
0.0005788240675849408	-18.25511389976265	2
0.0006152201225648157	-18.871932564270413	6
0.000993915961962934	-22.468930030006195	1
0.0006243243219181842	-18.50112941450716	6
0.0007849218022959131	-19.32594888703267	10
0.0009470522221029221	-22.23463018056635	1
0.0008029538100898789	-21.514196080769167	1
0.0007598680223379195	-19.0549837071023	8
0.00086964619710254	-20.49844025834848	9
0.000995211725474188	-22.475408326371433	1
0.000621445597667919	-19.282192248645682	3
0.0009654166869677773	-22.32644511820752	1
0.0009713637992046831	-22.303180582087382	3
0.0009776017190432356	-22.387365377436247	1
0.0007168754479929554	-19.0322634698714	5
0.0008453812431232808	-20.9867485755301	4
0.0005072877832547108	-17.51781929170339	4
0.0009706774076839886	-22.352746605784805	1
0.0006174645616437315	-18.592192346909098	3
0.0009587288719805531	-22.293008733290975	1
0.0009630279797671838	-22.314502543007016	1
0.0006776795376612668	-17.859245095940437	4
0.000989685473209618	-22.447779287856303	1
0.0008224835710774161	-20.32707746822828	3
0.0008502860078833464	-21.750838031449874	1
