T	U	Steps
0.0005868939779440672	-21.434083825132305	1
0.0005657235144563287	-21.18049374982099	39
0.00032895595718747216	-18.74662558540279	20
0.0003340966234437911	-18.529517652680696	33
0.0005783263267581049	-21.391249015342893	1
0.00033387196252930844	-18.68910422896786	60
0.0003463383622413709	-18.555351239336453	8
0.00036102456032075056	-18.678870742558527	30
0.0005909702192190249	-21.454463391932908	1
0.000586778760077983	-21.433507782145618	1
0.0005897602634882185	-21.448414099955706	1
0.00030052536996118305	-18.576012097745018	19
0.0005299570167189418	-21.12479399816143	20
0.0004111318993977181	-18.54109981489171	16
0.0003200027927052049	-18.544617075273237	24
0.00037143111218528567	-19.076603155988362	65
0.000319305847289612	-18.730117665228676	27
0.0005868985888386043	-21.434106877750366	1
0.000503617476743635	-20.514370426854693	5
0.0005989701282928176	-21.494459719522663	1
0.0003689772825782168	-18.94912825335641	11
0.0003273656247219529	-18.6950862878301	28
0.0005971363195881667	-21.48529141360673	1
0.00035677285718884903	-18.761055109026074	37
0.0004471866743607335	-18.918177207534065	8
0.0005639889098051135	-21.21310731614416	10
0.00032104587748143056	-18.795922196251947	29
0.00045142270231720536	-20.113938417258122	40
0.0005944824922621077	-21.47202334441737	1
0.0004035505308408675	-19.14381111059705	24
0.00034763166387426615	-18.673647633368972	25
0.0003387006975476086	-18.729117364616954	19
0.000522189653629601	-19.833935228070004	6
0.0003154558801533576	-18.51275972323755	18
0.0005316577271805395	-20.874030532748886	10
0.0003671587920848472	-19.008371998361064	15
0.00034676530264923463	-18.872281360711376	7
0.0004997576722313852	-20.506206008332548	5
0.000596328831682083	-21.48125429886973	1
0.0005995956659207444	-21.49758715605419	1
0.00037428356068422	-19.109842622945507	24
0.0005684525396179329	-21.341884051145545	1
0.0005800267905984349	-21.399750650572123	1
0.00033402649081265833	-18.57648779173511	13
0.0005863647331872655	-21.431437814224815	1
0.00042104071377027625	-19.713394276929407	32
0.0005945249129233843	-21.472235430661016	1
0.0005237711927291864	-21.118495288744707	1
0.000582767071891709	-21.350311569820406	3
0.0005556926538272884	-21.064306649145816	6
0.0004127542542697294	-19.595419167242103	9
0.00041106907700760224	-19.639761900472475	18
0.00037051719007719997	-19.20195815797627	61
