T	U	Steps
0.0011402978622662365	-20.123909067717534	5
0.0012796425209628233	-22.897347898076806	1
0.0012050379093108334	-22.524354847803945	1
0.0012290777151265446	-22.644544207424186	1
0.0008352960550813691	-16.792432891170456	6
0.0008093888952966401	-17.190215624046587	18
0.0012267100427705761	-22.632706797986028	1
0.0008417253158173955	-16.820599349844606	7
0.0009008996219528028	-18.144284249187955	10
0.001058244063695444	-20.560780310695147	6
0.0013569895494313807	-23.284051929358483	1
0.0008311942398895728	-17.781214777393664	5
0.0007454588680460139	-16.624755088523457	4
0.0008299004562884112	-18.035066296496037	11
0.0009618333472023895	-19.58079591247995	10
0.0007302472470892988	-16.885211015954845	6
0.0014001108549934612	-23.499641112616693	1
0.0013532906134046093	-23.108390915180173	5
0.0013349556252433726	-22.45499636646022	2
0.0008084021634028142	-16.936126192181156	17
0.0011446673838643767	-20.214724838369627	7
0.0007766716826392861	-17.29791940165301	3
0.00137106123282101	-23.35440468629602	1
0.001190748571640841	-21.463235278874713	4
0.0007393723925312975	-16.588156373112916	11
0.0013871322144626908	-23.434753130322132	1
0.0007012529001556447	-16.551635654652706	5
0.0012663285056750697	-22.274215298371022	17
0.0007083780520090457	-16.964185364626484	7
0.001380499414565072	-23.401591798725057	1
0.000837732302115456	-19.05529277400668	7
0.0013931833903497708	-23.465006575811373	1
0.0012848830740777165	-22.923548555759453	1
0.0008857386576194133	-17.377698285340742	16
0.0013779740644567144	-23.388966063947205	1
0.0013333517100023104	-21.860454536606134	13
0.0013072311268180834	-23.03527983047169	1
0.001304776165940241	-22.718930594777994	6
0.0012434065982249935	-19.166539738377	12
0.0007680478705894474	-17.183962727822973	2
0.0010234961263315956	-20.100086476931885	17
0.001197572001156389	-21.77505452913444	4
0.0013929196642287938	-23.463688051284244	1
0.0013951036336938107	-23.474607020157904	1
0.00127236562515333	-22.830076376736937	2
0.0009572746623615225	-18.624509374864104	13
0.0011019931300065467	-18.15291193769835	9
0.0010253136003807411	-17.063055053502133	6
0.0013220348919412588	-23.10929270161394	1
0.001391915482476549	-23.449925578752723	3
0.0009187683900802369	-17.195385548668746	7
0.001397699676874352	-23.48758619186202	1
0.0010013030157095175	-18.774167900994634	5
0.000835706372181964	-17.002318123125242	4
0.0011286033016929015	-20.885795987918176	2
0.0013743061868172768	-23.370628151069333	1
0.001137466695803343	-21.21759872278193	7
0.001371690380711529	-23.35755017268836	1
0.0012331539769721627	-21.123739027871864	34
0.001212395389975089	-21.66135613718438	8
0.0008475334879584043	-16.817585464781814	10
0.0013447995125547509	-23.223106648136966	1
0.0008105393993323115	-16.68169356067136	9
0.001286762298069925	-22.932943919845922	1
0.0009881117839980983	-18.44580470005038	11
0.0012367357435487634	-22.361309638969445	2
0.0013451099267420574	-21.559357662949022	5
0.001068707544920076	-19.77627853515762	18
0.0007278215450960737	-16.839626826579874	11
0.0008015277747663152	-16.629533908764376	13
0.0008410983556112855	-17.7139578614243	9
0.00104589773345864	-20.03143106609212	6
0.0013990762215109265	-23.494468361361513	1
0.0008790651379197335	-16.51893378393629	9
0.0013210822815431973	-23.104530032789228	1
0.0012116152646009376	-21.690154372911543	5
0.0010830248232298221	-20.495991086958597	3
0.001371791680774595	-23.358056632258073	1
0.0008588544384057645	-16.842907725940123	15
0.0010041688323913808	-17.218862792315097	18
0.001099880913889398	-20.47213394301546	7
0.0013964233202506842	-23.481204922128743	1
0.0013882840922835257	-23.44051205610998	1
0.0008944099820273847	-16.584110899876755	15
0.0013928135297864028	-23.46315742176243	1
0.0008203798463129706	-17.8550721868547	14
0.0011337443884189172	-20.847875114672362	2
0.0013801506670239308	-23.399848201295026	1
0.001070410232718205	-19.82593220415484	4
0.0007263969394905853	-16.513670214915088	19
0.0012671373307509327	-22.83482697694215	1
0.0013963662437868779	-23.480919562767408	1
0.0008060947016751736	-16.592024021263516	7
0.0008063825895722798	-17.47636184865687	5
0.0007367871285011429	-16.64309826239356	5
0.001320110972934826	-23.099673880433894	1
0.0010163500514050168	-18.957468174649847	12
0.001327294158396299	-22.45660527850541	8
0.0013962333744464504	-23.480255269508906	1
0.000732292923987064	-16.54331515616273	18
0.0013993060877901134	-23.49561760029903	1
0.001386737278860024	-23.432778611162547	1
0.0008268776420893043	-17.933288409659276	4
0.0008035450444635921	-17.71080924859281	11
0.0012418797905912496	-17.760690552803602	24
0.0013504911310562298	-23.25156245132188	1
0.0009758355653097238	-17.660841682305914	5
0.001110396547154328	-17.01507422502035	12
0.0009614866850634163	-17.801498296520045	14
0.0012919269218566822	-20.6780593770409	6
0.0010745302664253345	-19.36498784333616	23
0.0013694838608281194	-22.546293820126362	41
0.0013868317654586206	-23.43325100615047	1
0.001215199062717335	-21.956672900438605	3
0.0011582771965214164	-21.333910749541097	15
0.0011835490556095498	-22.416919222694098	1
0.0012086610208001673	-21.763487014198898	3
0.001097194633313041	-20.99397827699972	5
0.0012576163986014032	-22.380409190722307	17
0.0008305488218466711	-17.49138724625823	3
0.0013190497224303938	-23.09436805477531	1
