T	U	Steps
0.0004268323076880102	-18.206564541191614	8
0.0006472065306900807	-21.235572329526867	1
0.000593103131305934	-19.640318632839328	9
0.00045716070587861827	-18.08395770971572	7
0.0007337350428879794	-20.98503293857654	4
0.0006262554445789082	-19.005193683676218	10
0.0007225012715170059	-21.289548049949776	5
0.0005732419343609103	-18.116969662272638	23
0.0006818343120443439	-20.94456350508404	2
0.0005820646075785051	-19.87173994515583	7
0.0005654765685618551	-19.456402044598423	4
0.00046581350364196644	-18.060969499929406	13
0.0004991789747872589	-18.08000565585563	16
0.0005994215021029404	-20.153924013030473	9
0.0005684600646606249	-18.994723568707567	12
0.0006751153089218669	-20.807964874063558	18
0.0007950248975787964	-21.974604707436228	1
0.0004984812984391883	-19.05860542087065	8
0.0004859367300026903	-18.771840154506954	19
0.0005746893671396043	-19.590330600710523	9
0.0007985780487501755	-21.992369034119886	1
0.0007721359865618393	-21.86016935888883	1
0.00046685495973641507	-18.484221635156327	17
0.00043831942600787996	-18.41767870485885	6
0.000394513888043229	-18.53911156611446	22
0.0005058116236204595	-18.790365921383266	8
0.0007757932080060935	-21.87845399507699	1
0.0007617924599043301	-21.808455886046698	1
0.0007943800263548081	-21.94858502480095	2
0.0004837961849771428	-18.976257832224373	16
0.0007273787207463188	-18.79730566387062	4
0.0007748051412754093	-21.87351405885066	1
0.0007904065423758704	-21.95151478904863	1
0.00038018126659712697	-18.129513576644506	3
0.0007640065943727446	-21.715750319992903	6
0.0004367635694312013	-18.351006429931637	28
0.0005199129695026045	-19.47540315557231	11
0.0007869275428077847	-21.934121190555665	1
0.000793753939279194	-21.968250427151926	1
0.0005879824286198247	-18.52315272446476	15
0.00079540360054714	-21.976498069953397	1
0.0007117185608902318	-21.235901268212842	13
0.0005780266387642391	-20.070556201007314	7
0.0007972538959882448	-21.9730980406171	2
0.00042084648075282313	-18.334701322300297	7
0.0007304462322751793	-21.651737356199188	1
0.00072017005848241	-21.60036062058962	1
0.00040078943541348367	-18.090247497916028	4
0.00043397815123356117	-18.409644170858833	9
