T	U	Steps
0.000595061599580261	-21.47491864807555	1
0.0002998673544663985	-18.519175459329478	494
0.0003059288427242384	-18.551257907742148	729
0.0005979865942904904	-21.489542445114928	1
0.0003035953096187394	-18.50373848957369	1090
0.0003143875008483763	-18.55372094772943	218
0.0003150534902321869	-18.68458332733882	1171
0.0005952457973050356	-21.456685668974476	6
0.0002974778561159147	-18.530525100639903	1050
0.0005999274508803408	-21.499245947399313	1
0.00031041589026793937	-18.554393055335794	1104
0.00032201800788957244	-18.712348062921038	744
0.0002996524373305615	-18.506269935048614	493
0.000598191466689083	-21.49056672470269	1
0.0005978333362855362	-21.48877621673466	1
0.0005997140649290213	-21.4981791034723	1
0.0005996897290074201	-21.498057433652857	1
0.0003108378584894883	-18.647088904929102	1096
0.0005993049264483448	-21.49613357563545	1
0.0005997075798104227	-21.498146680487796	1
0.000305963592939347	-18.503050398425085	1115
0.00033937812192284475	-18.873897783105804	1551
0.0005988802140490519	-21.49401018446977	1
0.00030590729864856276	-18.511289276903852	1067
0.0003158924968181054	-18.527155755369726	535
0.0003035005130585093	-18.550878623012775	394
0.0005854464625658216	-21.355640819141186	57
0.0005985433265645044	-21.492325882552265	1
0.0005933343746157356	-21.4414528865155	74
0.000302681111255075	-18.545147097920832	384
0.000593115744488604	-21.465190155292667	1
0.0005948778300209755	-21.473999874196195	1
0.0003159669435700399	-18.559613936200783	414
0.0005956513208302016	-21.47786701712346	1
0.00030465786841422276	-18.55420643619891	203
0.0003001908328641877	-18.505942413692424	309
0.0003039089848373882	-18.56031162365306	570
0.00030092280361434555	-18.530048797564508	598
0.000298222249060795	-18.53439195364113	1917
0.00029988261244775593	-18.525253988142232	824
0.0005999663434014389	-21.49944039436118	1
0.00030122395833715853	-18.57054059586913	2632
0.0003033171750666791	-18.553159897084207	100
0.00030398086527889245	-18.533239279959673	998
0.00030656013424976803	-18.53982167286211	187
0.00031204538096820945	-18.61232461608634	1458
0.0003058470632822503	-18.56806402822106	1084
0.000599982988339902	-21.499523612358452	1
0.0003152224124747549	-18.672236663430642	1074
0.00029845398375160666	-18.500124298021383	665
0.00030746903725082216	-18.558338589702895	440
0.0003083064605546769	-18.50265433931538	474
0.0002954299146667692	-18.507526780737116	948
0.00030216330197842153	-18.529556612598977	596
0.00029460667152066854	-18.506429194677168	1472
0.0005946311614583223	-21.46515142029632	2
0.000300566426082651	-18.543494429511476	1520
0.0003162317633000914	-18.66808738539377	1464
0.0003053848937298334	-18.53419064926116	482
0.00029395332038548047	-18.52050021581676	2460
0.0005993345954810552	-21.496281908865317	1
0.0005997131297970588	-21.498174428188623	1
0.0003064367246121761	-18.569716196192147	746
0.0005972220875279671	-21.485720218807554	1
0.00030583640798424207	-18.502841554045173	151
0.00030170556742119335	-18.542499108946974	739
0.0003144450286106076	-18.73197081618413	2929
0.00031007478232597253	-18.601229726136754	962
0.0003070408290540887	-18.564204641201954	910
0.0005973974326073591	-21.486596873675996	1
0.0005825145473290826	-21.34865756949738	152
0.0005728816453164289	-21.228974960624573	42
0.0003037386059471582	-18.563399646724502	646
0.0005985145190286246	-21.492181856460032	1
0.00031368796610110563	-18.62875071721942	997
0.00029873459817564844	-18.500130076267492	1255
0.0005981288166620145	-21.490253499766876	1
0.0003035367550030617	-18.581976443169207	2373
0.00031460505609929445	-18.653163168875032	237
0.0005981227814975689	-21.490223326372156	1
0.00031333765472785593	-18.500668371344087	626
0.0003064917055578253	-18.529015789486046	610
0.0002963375703166371	-18.529613417616318	1475
0.000598789576778822	-21.493557034575375	1
0.0005999643326139992	-21.499430341232777	1
0.0005982120224186685	-21.490669495082546	1
0.00030542350423973767	-18.56029760555596	1236
0.0002948277164879291	-18.51513158364944	1788
0.00031320393160838637	-18.541567341381036	183
0.00030789895584761316	-18.58670120832805	344
0.00031455763056961153	-18.520420252104618	585
0.0003154012756037803	-18.54221911804461	102
0.0003054203126964981	-18.544325368810046	518
0.0005669612588638097	-21.217027385120073	1863
0.0002970797292514793	-18.501524652384862	657
0.0005844087297807029	-21.371425276941313	10
0.0003010720460372777	-18.52649095385481	255
0.0005991488656798766	-21.49535333456496	1
0.0005994388185903492	-21.49680298249044	1
0.0005794404889315359	-21.298337435678675	223
0.0002997849023140334	-18.510092547504033	1810
0.00030462867350721103	-18.55785993480534	932
0.0005941021419440626	-21.4701217458143	1
0.0003012314411193243	-18.566286200067374	1795
0.0005895550424232514	-21.40191646489602	230
0.0003020728198509116	-18.523874664816855	691
0.0003065345506044929	-18.558012526197537	539
0.0005996327583450742	-21.497772603256266	1
0.0003321993154880801	-18.853753979042057	1406
0.00029616054452932735	-18.504808834887218	1538
0.00031243728170753977	-18.647363753910387	1137
0.00030247218786328295	-18.524351415862967	212
0.00031266283446368983	-18.60025006023805	579
0.00030963434804518846	-18.589654450854695	859
0.00031703868161117035	-18.728559524329924	1502
0.0005996047392198747	-21.497632518900318	1
0.0005852462936425362	-21.353672175814918	119
0.0005949167111118248	-21.450587964067175	8
0.0002997383778135731	-18.527925168685407	2582
0.0003059951698706542	-18.554076636625894	1228
0.00030564645324774643	-18.545764297867738	574
