T	U	Steps
0.0004185733140339789	-18.859783848835654	17
0.00033088500232222976	-18.545199867936212	39
0.0005851694702268361	-21.42546198018967	1
0.0005069767207443994	-20.341556457453862	13
0.0005066889720012743	-20.560410939800825	5
0.0004618339859367355	-20.20742750665601	5
0.0004915148786413141	-20.143804302085975	6
0.0004913256561779362	-19.247638557959895	10
0.00048537490218245814	-19.443495773820345	5
0.0003789848405865335	-19.15766077281011	5
0.0004802921973841273	-20.53435785769755	11
0.0005360353727762671	-21.179811255996096	1
0.0002749533251117565	-18.524600387051176	10
0.0005954127890652609	-21.466767323725534	2
0.0005822682400561501	-21.41095699628927	1
0.000473821938353329	-20.31244811291773	10
0.00039195013540774417	-19.14792080143078	9
0.00040569958566576353	-18.502284912940354	11
0.00047631396984760865	-19.741574661872455	4
0.0003866681755302672	-18.572813348476174	3
0.0003385255614486766	-18.617689045451005	3
0.0003803623496695577	-18.79279540375634	5
0.00046340802315047877	-19.641520276458873	18
0.0003124596631580848	-18.569063872731643	10
0.0003266498201782403	-18.744381334932395	24
0.000549416725387953	-21.246712636713575	1
0.0003509234641773598	-18.68048690912907	11
0.0005368139949265386	-20.561443479876875	5
0.0005614303305988627	-21.306775830572068	1
0.0005938680109216698	-21.46895118487615	1
0.0005943619556524388	-21.471420709852097	1
0.00048582229297211224	-20.18116029198552	2
0.0003853061185130563	-19.209270053105243	5
0.0005793963272128333	-21.39659858723349	1
0.0005912791036723507	-21.45600768995788	1
0.0005514427957980002	-21.256842173823642	1
0.0005312498555715967	-20.8535701315894	4
0.00031107497106670615	-18.781187083483157	5
0.0003788120785278357	-18.577516385310897	19
0.0003870265943355326	-19.18090216235239	6
0.0005102704251052065	-20.596098108668166	2
0.000334038749483982	-18.85958365362571	13
0.00045661291999674937	-19.658226107241514	5
0.00034758711878750225	-18.573727093799178	8
0.0005472117350752396	-21.017263838359344	12
0.0003406487614265267	-18.772530915097878	4
0.0005949420385325062	-19.52954944928267	23
0.0005947574211771824	-21.473397878408914	1
0.00033750910934274547	-18.512045685097558	5
0.0005169086764743343	-20.74464798223348	5
0.0004905690217804693	-20.487425768414226	53
0.0005939530522387266	-21.46937635725552	1
0.0005731394475366363	-21.36531670553828	1
0.0005404378286679992	-21.201821764668253	1
0.0003579395731839202	-19.242861460527312	27
0.00037366952767563537	-19.012491465514756	7
0.0004202450653170377	-18.72498313228672	11
0.0005914705584232992	-21.456964886704355	1
0.0005656686787023754	-21.327965866311704	1
0.0004232308502741331	-19.742960012904792	9
0.00043322412057438474	-19.765948586478217	2
0.00047184887248779075	-20.231739941385154	11
0.0005911470581753479	-21.455347515585125	1
0.0005896384652011927	-21.447805157511134	1
0.00032484777042894353	-18.509686324271858	12
0.0005146894623034816	-19.463734370228053	6
0.000578518183214307	-21.392208220454062	1
0.0005995521938605134	-21.49736981323867	1
