T	U	Steps
2.843643818273534	-120	0
2.843643818273534	-120	0
0.0005925780542985352	-21.46250192061582	1
2.843643818273534	-120	0
0.00045380163358969464	-20.7686756366912	1
0.00024286007335076745	-19.71405268188175	1
2.843643818273534	-120	0
0.00048206478871640646	-20.909980044121433	1
2.843643818273534	-120	0
0.00028185011903084876	-19.908987227434118	1
0.0003145666652570685	-20.07255679908787	1
2.843643818273534	-120	0
0.0005266568384552827	-21.02293930852055	1
0.0005671175707404408	-21.335209743718575	1
0.0001640090399718858	-19.31982923099979	1
0.00031199611480362113	-18.762560791817403	2
2.843643818273534	-120	0
0.0005542617412390015	-21.27093576717276	1
2.843643818273534	-120	0
2.843643818273534	-120	0
1.1826288343522858e-05	-18.558976684865456	1
2.843643818273534	-120	0
0.0005905344364560411	-21.45228465340157	1
0.00015872565274434	-19.29341441998291	1
7.630364187488738e-05	-18.88133751799156	1
0.00015678000389973703	-19.28368695835234	1
0.0003910824005625437	-20.455104698922675	1
0.00026106992096939754	-19.80509459548302	1
0.0005041969742012889	-21.020632069383883	1
0.0002650900492735466	-19.825193619999727	1
2.843643818273534	-120	0
0.0005005480410186149	-20.78799524829554	1
0.000492522835189598	-20.96226606997902	1
0.0001255548526109005	-19.127573761506234	1
0.0002236861525375009	-19.61819079008354	1
0.00017309429336498968	-19.36525184363134	1
0.000593802167804451	-21.46862199577393	1
2.843643818273534	-120	0
0.00018065637904676892	-19.403059230365407	1
0.00033145001306967436	-20.156966747213023	1
0.0005039465553872974	-21.019380076039123	1
2.843643818273534	-120	0
2.843643818273534	-120	0
0.000378315703092607	-19.352556226830682	2
0.0004867046750683944	-20.933177609593933	1
0.0002062364396885806	-19.53094924458411	1
0.00026240913186048424	-19.811790111271712	1
0.0003876292013399708	-20.43784009177968	1
0.00031037226829940776	-18.749783363489843	2
0.00012705264764382266	-19.135062134217282	1
0.0003395106812964449	-20.197266846128695	1
2.843643818273534	-120	0
0.00044110352054242376	-20.705190178978416	1
0.00015416670587626934	-19.270621519373954	1
2.843643818273534	-120	0
0.00030478789818272903	-20.02366689700005	1
0.0004259918925207083	-20.04293346698104	2
0.00021413591293545074	-19.57044343343725	1
0.00037855093664003047	-20.392452419802904	1
0.00022164755947652164	-18.779638721337342	1
0.0005945878154874852	-21.472549918180412	1
2.843643818273534	-120	0
0.0005949899309852467	-21.47456033392752	1
0.0005879556050929553	-21.439391533861674	1
2.843643818273534	-120	0
0.0003983472347124901	-20.49142594756016	1
2.843643818273534	-120	0
2.843643818273534	-120	0
0.0004002411380743284	-20.500894702590337	1
2.843643818273534	-120	0
0.00015123308019577292	-19.25595457095485	1
2.843643818273534	-120	0
0.00014420795469255871	-19.220831769133742	1
0.0003905444943209	-20.452415384074854	1
2.843643818273534	-120	0
0.00014710885896780955	-19.235335123688053	1
0.00027282513968817274	-19.863865960810855	1
0.0002605557155723117	-19.194885203186157	1
5.1429179422423e-05	-18.75697521090897	1
8.28909404058509e-05	-18.91427136105723	1
0.00033057702992508674	-20.15260218262745	1
2.843643818273534	-120	0
2.843643818273534	-120	0
0.00022132826854713873	-19.60640231853627	1
1.1777206657521839e-05	-18.558731296177427	1
0.0005400533037121968	-21.19989929455555	1
2.843643818273534	-120	0
0.0004885076397261053	-20.942191707681474	1
0.00025823156027434546	-19.79090393367299	1
0.0004205055678619197	-20.602208700628044	1
0.0002728996811757722	-19.864238638266258	1
0.00031077488543170624	-20.05359942511718	1
0.00029383300512143416	-19.96889683804705	1
0.00039546282548949264	-20.47700506163236	1
0.00017642496493348007	-19.38190386178785	1
2.843643818273534	-120	0
0.0005270403929333747	-21.134839974805146	1
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
0.0004448709845418594	-20.724025983599955	1
0.0005472682419365916	-21.235971083634762	1
0.00022950357274154548	-19.275300596224024	2
0.0005021308669326142	-21.010302364084577	1
0.0003175580764675023	-20.087512651913766	1
2.843643818273534	-120	0
0.0003347838348156487	-19.933107844191586	2
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
9.904167904698959e-05	-18.995018558000215	1
0.00021289776116223107	-19.564253172589193	1
2.843643818273534	-120	0
0.00047471170862750363	-20.873217601284065	1
0.00016855914865315205	-19.34257794422968	1
2.843643818273534	-120	0
2.843643818273534	-120	0
0.0005013646365904827	-21.006471520572433	1
2.843643818273534	-120	0
2.843643818273534	-120	0
2.843643818273534	-120	0
0.00021627679574351465	-19.58114698635676	1
2.843643818273534	-120	0
0.00023162624605335574	-19.657888063943037	1
0.0003338213341443358	-20.128494438545502	1
0.0004906218626526776	-20.952761971916846	1
2.843643818273534	-120	0
0.0005702243356136941	-21.350742318460213	1
0.0005969258811602549	-21.484239306111185	1
0.0004129364125868242	-20.56436596877098	1
6.506715569041423e-05	-18.825159606687016	1
0.00010204734957680985	-19.01004570168756	1
0.000322251108507816	-20.110975924451264	1
0.0004584756146199628	-20.7920436618413	1
2.843643818273534	-120	0
2.843643818273534	-120	0
0.00056329674428259	-21.31610714826878	1
2.843643818273534	-120	0
2.843643818273534	-120	0
0.0005840857543701719	-21.420043836806098	1
2.843643818273534	-120	0
2.843643818273534	-120	0
0.00034064202050578787	-20.202923087120265	1
0.0005102331983991817	-21.05081076244116	1
1.6526655202274174e-05	-18.58247662854488	1
0.0005164641881454937	-21.081963204900575	1
2.843643818273534	-120	0
2.843643818273534	-120	0
0.0005562502982577351	-21.280877752415158	1
0.0002577530776363431	-19.7885117129416	1
0.000400646222608808	-20.502919962326807	1
2.843643818273534	-120	0
0.0005938321437514005	-21.468771863451543	1
0.0001975074454127284	-19.487307784241793	1
0.0005463904655362117	-21.231582554698207	1
0.0005150342522533994	-21.07481410059889	1
0.000262083933811093	-19.81016425182818	1
0.00012761491129565814	-19.137873226318852	1
2.843643818273534	-120	0
5.841899119428401e-05	-18.791921458277447	1
0.0004234972728090648	-19.962711711119603	2
